# size	norm
3	0.000000000000010
4	0.000000000000018
5	0.000000000000023
6	0.000000000000056
7	0.000000000000042
8	0.000000000000080
9	0.000000000000080
10	0.000000000000104
11	0.000000000000127
12	0.000000000000139
13	0.000000000000207
14	0.000000000000224
15	0.000000000000264
16	0.000000000000224
17	0.000000000000290
18	0.000000000000296
19	0.000000000000338
20	0.000000000000346
